/* DATA DESCRIPTION:
Citation:	WOCE Sea Surface Salinity, SSS (2005): Surface oceanographic data measured in the surface water of the Atlantic Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.314718
Keyword(s):	CO2BaseSleipner
Related to:	WOCE (2002): World Ocean Circulation Experiment, Global Data, Version 3.0. WOCE International Project Office, WOCE Report, Southampton, UK; published by U.S. National Oceanographic Data Center, Silver Spring, 180/02, DVD-ROM
Project(s):	World Ocean Circulation Experiment (WOCE) (URI: https://en.wikipedia.org/wiki/World_Ocean_Circulation_Experiment)
Coverage:	MEDIAN LATITUDE: 25.558145 * MEDIAN LONGITUDE: -35.178106 * SOUTH-BOUND LATITUDE: -34.600000 * WEST-BOUND LONGITUDE: -97.270000 * NORTH-BOUND LATITUDE: 67.900000 * EAST-BOUND LONGITUDE: 35.830000
	DATE/TIME START: 1990-01-01T00:30:00 * DATE/TIME END: 1998-12-31T23:30:00
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 5 m
Event(s):	NODC_SSS_Atlantic * DATE/TIME START: 1990-01-01T00:00:00 * DATE/TIME END: 1998-12-31T23:59:00 * METHOD/DEVICE: Thermosalinograph (TSG) * COMMENT: Position not given
Comment:	These data have been mainly collected on ships of opportunity (VOS). IRD has conducted this VOS network. Some other data have been retriewed from the NODC atlas (1998 onward).
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	DEPTH, water [m] (Depth water) * GEOCODE
	Temperature, water [°C] (Temp)
	Salinity (Sal)
	Reference/source (Reference)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	145855 data points
*/
Date/Time	Latitude	Longitude	Depth water [m]	Temp [°C]	Sal	Reference
1990-01-08T06:30	5.50	-12.10	0	28.50	34.819	SIRD
1990-01-08T06:30	15.70	-42.10	0	24.30	36.757	SIRD
1990-01-08T07:30	31.00	-45.00	0	21.23	36.723	BNODC
1990-01-08T11:30	28.45	-66.02	0	23.04	36.671	BNODC
1990-01-08T11:30	28.45	-66.00	0	23.04	36.671	BNODC
1990-01-08T11:30	30.97	-43.87	0	21.10	36.832	BNODC
1990-01-08T11:30	32.17	-64.50	3	21.58	36.760	BNODC
1990-01-08T12:30	14.40	-43.30	0	24.10	36.030	SIRD
1990-01-08T13:30	56.23	12.37	1	3.35	16.170	BNODC
1990-01-08T15:30	56.17	11.80	1	3.34	16.230	BNODC
1990-01-08T17:30	31.00	-42.50	0	21.25	36.912	BNODC
1990-01-08T17:30	56.38	12.03	1	3.33	17.260	BNODC
1990-01-08T18:30	7.80	-14.30	0	29.00	35.289	SIRD
1990-01-08T18:30	13.40	-44.30	0	24.90	35.812	SIRD
1990-01-08T18:30	15.30	-17.60	0	21.00	35.770	SIRD
1990-01-08T23:30	29.00	-63.00	0	22.38	36.787	BNODC
1990-01-08T23:30	29.02	-63.03	0	22.38	36.787	BNODC
1990-01-08T23:59	31.00	-41.37	0	21.00	36.837	BNODC
1990-01-09T00:30	12.30	-45.30	0	24.90	35.877	SIRD
1990-01-09T00:30	29.02	-63.03	0		36.790	
1990-01-09T00:30	29.50	-60.08	0		36.650	
1990-01-09T00:30	49.91	0.51	4		33.856	BNODC
1990-01-09T05:30	31.00	-40.00	0	20.29	36.666	BNODC
1990-01-09T06:30	10.20	-16.50	0	25.50	34.853	SIRD
1990-01-09T06:30	32.30	-17.50	0	18.00	36.877	SIRD
1990-01-09T06:30	49.92	0.18	4		34.846	BNODC
1990-01-09T07:30	56.67	12.12	1	3.23	23.410	BNODC
1990-01-09T08:30	49.91	-0.17	4		35.190	BNODC
1990-01-09T11:30	29.50	-60.10	0	22.15	36.657	BNODC
1990-01-09T11:30	29.50	-60.08	0	22.15	36.657	BNODC
1990-01-09T11:30	30.98	-38.70	0	20.12	36.630	BNODC
1990-01-09T12:30	9.90	-47.50	0	25.20	35.515	SIRD
1990-01-09T14:30	57.55	11.53	1	3.50	25.020	BNODC
1990-01-09T16:30	31.00	-37.50	0	21.03	36.860	BNODC
1990-01-09T16:30	57.53	11.33	1	3.40	24.450	BNODC
1990-01-09T17:30	57.47	10.90	1	4.26	26.780	BNODC
1990-01-09T18:30	8.80	-48.50	0	25.70	36.275	SIRD
1990-01-09T18:30	13.00	-17.50	0	20.50	36.209	SIRD
1990-01-09T18:30	57.43	10.72	1	4.23	21.500	BNODC
1990-01-09T19:30	57.30	10.75	1	4.17	26.160	BNODC
1990-01-09T23:30	29.87	-57.10	0	22.60	36.848	BNODC
1990-01-09T23:30	29.87	-57.07	0	22.60	36.848	BNODC
1990-01-09T23:30	31.00	-36.07	0	20.21	36.679	BNODC
1990-01-09T23:59	31.00	-36.10	0	20.21	36.679	BNODC
1990-01-10T00:30	7.70	-49.40	0	25.80	36.275	SIRD
1990-01-10T00:30	29.87	-57.07	0		36.850	
1990-01-10T00:30	56.83	10.28	0	3.00	25.700	BNODC
1990-01-10T00:30	56.83	10.32	0	3.60	25.900	BNODC
1990-01-10T00:30	56.85	10.42	0	3.60	26.000	BNODC
1990-01-10T00:30	56.87	10.52	0	5.10	26.800	BNODC
1990-01-10T04:30	31.00	-35.00	0	20.35	36.755	BNODC
1990-01-10T06:30	6.70	-50.50	0	26.00	36.155	SIRD
1990-01-10T06:30	16.00	-17.70	0	20.00	36.425	SIRD
1990-01-10T06:30	29.50	-25.20	0	19.00	34.998	SIRD
1990-01-10T07:30	56.85	10.80	1	4.37	24.100	BNODC
1990-01-10T09:30	56.57	11.03	1	3.50	21.740	BNODC
1990-01-10T11:30	30.20	-53.78	0	22.67	37.022	BNODC
1990-01-10T12:30	5.50	-51.60	0	25.90	31.593	SIRD
1990-01-10T12:30	31.00	-33.47	0	19.77	36.698	BNODC
1990-01-10T12:30	56.13	11.17	1	3.08	18.410	BNODC
1990-01-10T16:30	56.05	10.55	1	4.01	21.630	BNODC
1990-01-10T18:30	19.30	-17.80	0	19.50	36.232	SIRD
1990-01-10T18:30	55.82	10.50	1	3.67	19.420	BNODC
1990-01-10T19:30	55.65	10.77	1	3.60	18.170	BNODC
1990-01-10T23:30	30.45	-50.73	0	21.83	36.705	BNODC
1990-01-10T23:30	31.00	-32.50	0	20.13	36.833	BNODC
1990-01-11T00:30	-16.80	-38.40	0	26.00	36.866	SIRD
1990-01-11T00:30	27.20	-30.60	0	21.20	37.486	SIRD
1990-01-11T05:30	-15.30	-38.50	0	26.00	36.383	SIRD
1990-01-11T06:30	26.50	-32.50	0	20.50	37.294	SIRD
1990-01-11T08:30	55.38	11.00	1	3.70	17.580	BNODC
1990-01-11T10:30	31.00	-30.00	0	20.10	36.825	BNODC
1990-01-11T10:30	55.05	11.03	1	3.84	17.340	BNODC
1990-01-11T11:30	30.60	-47.50	0	21.11	36.720	BNODC
1990-01-11T12:30	-13.60	-38.60	0	26.40	35.073	SIRD
1990-01-11T12:30	5.70	-51.70	0	25.90	35.133	SIRD
1990-01-11T12:30	25.70	-34.10	0	22.30	37.853	SIRD
1990-01-11T12:30	54.70	10.77	1	4.06	17.700	BNODC
1990-01-11T14:30	54.57	11.33	1	4.20	17.110	BNODC
1990-01-11T18:30	6.80	-51.10	0	26.10	36.190	SIRD
1990-01-11T18:30	25.00	-35.50	0	22.60	37.649	SIRD
1990-01-11T18:30	49.59	-5.39	4		35.372	BNODC
1990-01-11T18:30	54.48	12.28	1	3.59	12.690	BNODC
1990-01-11T20:30	54.80	12.37	1	4.13	10.270	BNODC
1990-01-11T23:30	30.77	-44.38	0	21.51	36.798	BNODC
1990-01-11T23:30	31.00	-29.07	0	20.13	36.856	BNODC
1990-01-11T23:30	55.00	13.30	1	4.78	8.760	BNODC
1990-01-11T23:59	31.00	-29.10	0	20.13	36.856	BNODC
1990-01-12T00:30	-14.50	-36.90	0	27.50	37.341	SIRD
1990-01-12T00:30	8.70	-49.80	0	25.90	36.366	SIRD
1990-01-12T00:30	24.20	-37.80	0	23.60	37.598	SIRD
1990-01-12T02:30	55.27	12.58	1	4.05	10.590	BNODC
1990-01-12T04:30	31.00	-27.50	0	20.13	36.904	BNODC
1990-01-12T06:30	23.50	-39.50	0	24.30	37.581	SIRD
1990-01-12T08:30	55.87	12.75	1	4.29	22.330	BNODC
1990-01-12T09:30	49.53	-6.40	4		35.456	BNODC
1990-01-12T11:30	30.83	-41.20	0	21.17	36.832	BNODC
1990-01-12T11:30	30.83	-41.15	0	21.17	36.832	BNODC
1990-01-12T11:30	31.00	-26.13	0	20.01	36.882	BNODC
1990-01-12T12:30	-11.20	-35.50	0	28.50	37.084	SIRD
