Planeta,Metodo,NumPlanetas,PeriodoOrbital,SemiejeMayor,Excentricidad,Inclinacion,MasaJup,RadioJup,Densidad,Distancia,MagnitudOptica,TempEfectiva,MasaEstelar,RadioEstelar,TamanoPlaneta,DistanciaCat,EdadEstrellaCat,MetodoSimplificado,TipoOrbita,SesgoTamano
Kepler-247 c,Transit,3,9.439452,0.084,,,,0.365,,667.0,15.067,5100.0,,0.77,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-247 d,Transit,3,20.477912,0.14,,,,0.352,,667.0,15.067,5100.0,,0.77,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-248 b,Transit,2,6.308205,0.066,,,,0.269,,800.0,15.258,5190.0,,0.83,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-248 c,Transit,2,16.239494,0.123,,,,0.363,,800.0,15.258,5190.0,,0.83,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-249 b,Transit,3,3.306539,0.035,,,,0.097,,133.0,15.234,3568.0,,0.48,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
Kepler-249 c,Transit,3,7.113702,0.058,,,,0.135,,133.0,15.234,3568.0,,0.48,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
Kepler-249 d,Transit,3,15.368459,0.097,,,,0.14,,133.0,15.234,3568.0,,0.48,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
Kepler-25 b,Transit,3,6.2385,,,,0.0302,0.242,2.5,244.96,10.734,6270.0,1.19,1.31,Pequeño,Medio,Caliente,Transito,Desconocida,Subdetectado
Kepler-25 c,Transit,3,12.7204,,,,0.0774,0.464,0.9,244.96,10.734,6270.0,1.19,1.31,Pequeño,Medio,Caliente,Transito,Desconocida,Subdetectado
Kepler-25 d,Radial Velocity,3,123.0,,,,0.283,,,244.96,10.734,6270.0,1.19,1.31,,Medio,Caliente,VelocidadRadial,Desconocida,Subdetectado
