Planeta,Metodo,NumPlanetas,PeriodoOrbital,SemiejeMayor,Excentricidad,Inclinacion,MasaJup,RadioJup,Densidad,Distancia,MagnitudOptica,TempEfectiva,MasaEstelar,RadioEstelar,TamanoPlaneta,DistanciaCat,EdadEstrellaCat,MetodoSimplificado,TipoOrbita,SesgoTamano
HD 77338 b,Radial Velocity,1,5.7361,0.06,0.09,,0.06,,,46.0,8.591,5341.0,1.37,0.97,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HD 7924 b,Radial Velocity,3,5.39792,0.06,0.06,,0.02,,,16.82,7.185,5131.0,0.65,0.78,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HD 7924 c,Radial Velocity,3,15.299,0.1134,0.098,,0.02473,,,16.82,7.185,5131.0,0.65,0.78,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HD 7924 d,Radial Velocity,3,24.451,0.1551,0.21,,0.02026,,,16.82,7.185,5131.0,0.65,0.78,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HD 79498 b,Radial Velocity,1,1807.0,2.98,0.575,,1.34,,,49.0,8.05,5748.0,1.08,1.05,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
HD 80606 b,Radial Velocity,1,111.4367,,0.93,89.29,4.38,1.07,,66.6,9.001,5561.0,1.15,1.04,Mediano,Cercano,Media,VelocidadRadial,Eliptica,Detectable
HD 81040 b,Radial Velocity,1,1001.70001,1.94,0.53,,7.27,,,34.47,7.72,5755.0,1.05,0.91,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
HD 81688 b,Radial Velocity,1,184.02,0.81,0.0,,2.7,,,85.92,5.393,4753.0,2.1,13.0,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HD 82886 b,Radial Velocity,1,705.0,1.58,0.07,,2.33,,,127.52,7.78,4953.0,2.53,5.26,,Medio,Media,VelocidadRadial,Circular,Subdetectado
HD 82943 b,Radial Velocity,2,441.47,1.18306,0.162,90.0,1.681,,,27.61,6.53,6016.0,1.2,,,Cercano,Caliente,VelocidadRadial,Moderada,Subdetectado
HD 82943 c,Radial Velocity,2,220.078,0.74345,0.3663,90.0,1.959,,,27.61,6.53,6016.0,1.2,,,Cercano,Caliente,VelocidadRadial,Moderada,Subdetectado
HD 83443 b,Radial Velocity,1,2.9857,0.04,0.01,,0.34,,,40.95,8.222,5442.0,0.79,0.94,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HD 8535 b,Radial Velocity,1,1313.0,2.45,0.15,,0.68,,,52.5,7.7,6136.0,1.13,1.19,,Cercano,Caliente,VelocidadRadial,Moderada,Subdetectado
HD 85390 b,Radial Velocity,1,799.52,1.373,0.5,,0.099,,,33.56,8.526,5186.0,0.76,,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
HD 85512 b,Radial Velocity,1,58.43,0.26,0.11,,0.01,,,11.28,7.67,4300.0,0.43,0.71,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HD 8574 b,Radial Velocity,1,227.0,0.76,0.3,,2.03,,,44.2,7.112,6064.0,1.34,1.38,,Cercano,Caliente,VelocidadRadial,Moderada,Subdetectado
HD 86081 b,Radial Velocity,1,2.1378431,0.0346,0.0119,,1.48,,,104.24,8.73,5939.0,1.21,1.46,,Medio,Media,VelocidadRadial,Circular,Subdetectado
HD 86226 b,Radial Velocity,1,1695.0,2.84,0.15,,0.92,,,45.74,7.932,5903.0,1.06,1.02,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HD 86264 b,Radial Velocity,1,1475.0,2.86,0.7,,7.0,,,67.94,7.407,6210.0,1.42,1.88,,Cercano,Caliente,VelocidadRadial,Eliptica,Subdetectado
HD 8673 b,Radial Velocity,1,1634.0,3.02,0.723,,14.2,,,37.9,6.31,6472.0,1.35,1.39,,Cercano,Caliente,VelocidadRadial,Eliptica,Subdetectado
HD 86950 b,Radial Velocity,1,1270.0,2.72,0.17,,3.6,,,169.0,7.459,4805.0,1.66,8.8,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
HD 87646 b,Radial Velocity,1,13.481,0.117,0.05,,12.4,,,135.17,8.0,5770.0,1.12,1.55,,Medio,Media,VelocidadRadial,Circular,Subdetectado
HD 87883 b,Radial Velocity,1,2754.0,3.58,0.53,,1.54,,,18.3,7.55,4915.0,0.66,0.79,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
HD 88133 b,Radial Velocity,1,3.414884,0.0479,0.031,,0.2845,,,73.77,8.01,5392.0,1.26,2.2,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HD 89307 b,Radial Velocity,1,2166.0,3.27,0.2,,2.11,,,32.04,7.009,5955.0,1.27,1.1,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HD 89345 b,Transit,1,11.8143,0.1066,0.22,87.21,0.11,0.66,0.471,132.8,9.376,5576.0,1.16,1.75,Mediano,Medio,Media,Transito,Moderada,Subdetectado
HD 89744 b,Radial Velocity,1,256.78,0.917,0.677,,8.35,,,39.0,5.72,6291.0,1.86,,,Cercano,Caliente,VelocidadRadial,Eliptica,Subdetectado
HD 90156 b,Radial Velocity,1,49.77,0.25,0.31,,0.057,,,21.96,6.92,5599.0,0.84,,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HD 9174 b,Radial Velocity,1,1179.0,2.2,0.12,,1.11,,,78.93,8.4,5577.0,1.03,1.67,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HD 92788 b,Radial Velocity,1,325.81,0.95,0.33,,3.71,,,34.69,7.3,5738.0,1.15,1.11,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HD 93083 b,Radial Velocity,1,143.58,0.477,0.14,,0.37,,,28.54,8.3,4995.0,0.7,,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HD 9446 b,Radial Velocity,2,30.052,0.189,0.2,,0.7,,,50.42,8.369,5793.0,1.0,1.0,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HD 9446 c,Radial Velocity,2,192.9,0.654,0.06,,1.82,,,50.42,8.369,5793.0,1.0,1.0,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HD 94834 b,Radial Velocity,1,1576.0,2.74,0.14,,1.26,,,98.43,7.6,4798.0,1.11,4.2,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HD 95086 b,Imaging,1,,55.7,,,5.0,,,86.44,7.36,,1.6,,,Cercano,,ImagenDirecta,Desconocida,Subdetectado
HD 95089 b,Radial Velocity,2,1785.0,3.33,0.284,,3.45,,,137.46,7.92,4918.0,1.54,5.08,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
HD 95089 c,Radial Velocity,2,464.4,1.36,0.119,,1.26,,,137.46,7.92,4918.0,1.54,5.08,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
HD 95127 b,Radial Velocity,1,482.0,1.28,0.11,,10.63,,,332.0,8.15,4218.0,3.7,41.01,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
HD 95872 b,Radial Velocity,1,4375.0,5.15,0.06,,3.74,,,7.56,9.895,5312.0,0.7,0.84,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HD 96063 b,Radial Velocity,1,362.5,1.11,0.17,,1.27,,,140.62,8.21,5020.0,1.37,4.75,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
HD 96127 b,Radial Velocity,1,647.29999,1.42,0.3,,20.96,,,597.42,7.43,3943.0,10.94,51.1,,Lejano,Fría,VelocidadRadial,Moderada,Subdetectado
HD 96167 b,Radial Velocity,1,498.04,1.332,0.685,,0.717,,,85.51,8.09,5733.0,1.27,1.94,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
HD 97658 b,Radial Velocity,1,9.4909,,0.06,89.45,0.03,0.21,,21.58,7.71,5175.0,0.89,0.74,Pequeño,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HD 98219 b,Radial Velocity,1,433.8,1.26,0.079,,1.964,,,114.07,8.05,4925.0,1.41,4.6,,Medio,Media,VelocidadRadial,Circular,Subdetectado
HD 98649 b,Radial Velocity,1,4951.0,5.6,0.85,,6.8,,,42.22,7.991,5759.0,1.0,1.0,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
HD 98736 b,Radial Velocity,1,968.8,1.864,0.226,,2.33,,,32.48,7.93,5271.0,0.92,0.93,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HD 99109 b,Radial Velocity,1,439.29999,1.11,0.09,,0.44,,,54.88,9.1,5282.0,0.76,0.98,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HD 99492 b,Radial Velocity,1,17.0431,0.12,0.25,,0.07,,,55.7,7.58,4815.0,0.48,0.83,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HD 99706 b,Radial Velocity,2,841.0,1.98,0.25,,1.23,,,147.21,7.65,4862.0,1.46,5.52,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
HD 99706 c,Radial Velocity,2,1278.0,,0.411,,5.69,,,147.21,7.65,4862.0,1.46,5.52,,Medio,Media,VelocidadRadial,Eliptica,Subdetectado
HIP 105854 b,Radial Velocity,1,184.2,0.81,0.02,,8.2,,,78.8,5.64,4780.0,2.1,,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HIP 107773 b,Radial Velocity,1,144.3,0.72,0.09,,1.98,,,103.63,5.62,4945.0,2.42,11.6,,Medio,Media,VelocidadRadial,Circular,Subdetectado
HIP 109384 b,Radial Velocity,1,499.48,1.134,0.549,,1.56,,,56.2,9.63,5180.0,0.78,,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
HIP 109600 b,Radial Velocity,1,232.08,0.706,0.163,,2.68,,,58.6,9.16,5530.0,0.87,,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HIP 116454 b,Transit,1,9.1205,,0.2,88.43,0.04,0.22,,55.2,10.19,5089.0,0.81,0.72,Pequeño,Cercano,Media,Transito,Moderada,Subdetectado
HIP 12961 b,Radial Velocity,1,57.435,0.25,0.17,,0.36,,,23.39,10.24,3901.0,0.69,0.65,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
HIP 14810 b,Radial Velocity,3,6.673892,0.0696,0.14399,,3.9,,,50.55,8.52,5544.0,1.01,1.07,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HIP 14810 c,Radial Velocity,3,147.747,0.549,0.1566,,1.31,,,50.55,8.52,5544.0,1.01,1.07,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HIP 14810 d,Radial Velocity,3,981.8,1.94,0.185,,0.59,,,50.55,8.52,5544.0,1.01,1.07,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HIP 41378 b,Transit,5,15.5712,,,88.4,,0.259,,106.61,8.93,6199.0,1.15,1.4,Pequeño,Medio,Caliente,Transito,Desconocida,Subdetectado
HIP 41378 c,Transit,5,31.6978,,,89.58,,0.228,,106.61,8.93,6199.0,1.15,1.4,Pequeño,Medio,Caliente,Transito,Desconocida,Subdetectado
HIP 41378 d,Transit,5,156.0,,,,,0.353,,106.61,8.93,6199.0,1.15,1.4,Pequeño,Medio,Caliente,Transito,Desconocida,Subdetectado
HIP 41378 e,Transit,5,131.0,,,,,0.492,,106.61,8.93,6199.0,1.15,1.4,Pequeño,Medio,Caliente,Transito,Desconocida,Subdetectado
HIP 41378 f,Transit,5,324.0,,,,,0.91,,106.61,8.93,6199.0,1.15,1.4,Mediano,Medio,Caliente,Transito,Desconocida,Subdetectado
HIP 5158 b,Radial Velocity,2,345.72,0.89,0.52,,0.96,,,51.68,10.167,4813.0,0.43,0.75,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
HIP 5158 c,Radial Velocity,2,9017.76,7.7,0.14,,15.04,,,51.68,10.167,4813.0,0.43,0.75,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HIP 57274 b,Radial Velocity,3,8.1352,0.07,0.19,,0.02,,,25.88,8.98,4510.0,0.29,0.78,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HIP 57274 c,Radial Velocity,3,32.03,0.178,0.05,,0.40902,,,25.88,8.98,4510.0,0.29,0.78,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HIP 57274 d,Radial Velocity,3,431.7,1.01,0.27,,0.5267,,,25.88,8.98,4510.0,0.29,0.78,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HIP 63242 b,Radial Velocity,1,124.6,0.565,0.23,,9.18,,,157.16,6.871,4830.0,1.54,,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
HIP 65407 b,Radial Velocity,2,28.125,0.177,0.14,,0.428,,,55.5,9.42,5460.0,0.93,,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HIP 65407 c,Radial Velocity,2,67.3,0.316,0.12,,0.784,,,55.5,9.42,5460.0,0.93,,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HIP 65426 b,Imaging,1,,92.0,,,9.0,1.5,,111.4,6.982,8840.0,1.96,1.77,Mediano,Medio,Caliente,ImagenDirecta,Desconocida,Detectable
HIP 65891 b,Radial Velocity,1,1084.5,2.81,0.13,,6.0,,,136.05,6.75,5000.0,2.5,8.93,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
HIP 67537 b,Radial Velocity,1,2556.5,4.91,0.59,,11.1,,,112.6,6.44,4985.0,2.41,8.69,,Medio,Media,VelocidadRadial,Eliptica,Subdetectado
HIP 67851 b,Radial Velocity,2,88.9,0.46,0.05,,1.38,,,65.96,6.17,4890.0,1.63,5.92,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HIP 67851 c,Radial Velocity,2,2131.8,3.82,0.17,,5.98,,,65.96,6.17,4890.0,1.63,5.92,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
HIP 70849 b,Radial Velocity,1,17337.5,20.25,0.715,,9.0,,,24.07,10.36,4105.0,0.63,,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
HIP 74890 b,Radial Velocity,1,822.3,2.1,0.07,,2.4,,,91.49,7.05,4850.0,1.74,5.77,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HIP 75458 b,Radial Velocity,1,511.098,1.275,0.7124,,8.82,,,31.67,3.29,4530.0,1.05,,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
HIP 78530 b,Imaging,1,,740.0,,,23.0,,,156.7,7.192,10500.0,2.5,,,Medio,Caliente,ImagenDirecta,Desconocida,Subdetectado
HIP 79431 b,Radial Velocity,1,111.7,0.36,0.29,,2.1,,,14.54,11.34,3368.0,0.42,0.54,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
HIP 8541 b,Radial Velocity,1,1560.2,2.8,0.16,,5.5,,,168.63,7.88,4670.0,1.17,7.83,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
HIP 91258 b,Radial Velocity,1,5.0505,0.06,0.02,,1.09,,,45.95,8.646,5519.0,0.97,0.89,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
HIP 97233 b,Radial Velocity,1,1058.8,2.55,0.61,,20.0,,,106.5,7.34,5020.0,1.93,5.34,,Medio,Media,VelocidadRadial,Eliptica,Subdetectado
HN Peg b,Imaging,1,,773.0,,,21.9987,1.051,,18.13,5.95,5974.0,1.1,1.04,Mediano,Cercano,Media,ImagenDirecta,Desconocida,Detectable
HR 2562 b,Imaging,1,,20.3,,,30.0,1.11,,33.63,6.11,,1.3,,Mediano,Cercano,,ImagenDirecta,Desconocida,Detectable
HR 810 b,Radial Velocity,1,302.79999,0.92,0.14,,2.27,,,17.33,5.41,6167.0,1.34,1.13,,Cercano,Caliente,VelocidadRadial,Moderada,Subdetectado
HR 8799 b,Imaging,4,170000.0,68.0,,,7.0,1.2,,39.4,5.953,,1.51,,Mediano,Cercano,,ImagenDirecta,Desconocida,Detectable
HR 8799 c,Imaging,4,69000.0,38.0,,,10.0,1.2,,39.4,5.953,,1.51,,Mediano,Cercano,,ImagenDirecta,Desconocida,Detectable
HR 8799 d,Imaging,4,37000.0,24.0,,,10.0,1.2,,39.4,5.953,,1.51,,Mediano,Cercano,,ImagenDirecta,Desconocida,Detectable
HR 8799 e,Imaging,4,18000.0,14.5,,,,,,39.4,5.953,,1.51,,,Cercano,,ImagenDirecta,Desconocida,Subdetectado
IC 4651 9122 b,Radial Velocity,1,734.0,2.038,0.18,,6.3,,,879.38,,,2.1,,,Lejano,,VelocidadRadial,Moderada,Subdetectado
K2-10 b,Transit,1,19.3044,,0.31,,0.08495,0.343,2.6,274.48,12.418,5620.0,0.92,0.98,Pequeño,Medio,Media,Transito,Moderada,Subdetectado
K2-100 b,Transit,1,1.673833,0.0296,,,,0.32,,190.04,10.651,6168.0,1.23,1.22,Pequeño,Medio,Caliente,Transito,Desconocida,Subdetectado
K2-101 b,Transit,1,14.677286,,0.1,89.4,,0.178,,189.33,12.957,4819.0,0.8,0.73,Pequeño,Medio,Media,Transito,Moderada,Subdetectado
K2-102 b,Transit,1,9.915615,,0.1,89.0,,0.116,,189.17,13.2,4695.0,0.77,0.71,Pequeño,Medio,Media,Transito,Moderada,Subdetectado
K2-104 b,Transit,1,1.974238,0.023,0.09,88.0,,0.175,,190.21,15.149,3546.46,0.43,0.49,Pequeño,Medio,Fría,Transito,Circular,Subdetectado
K2-105 b,Transit,1,8.267704,0.0796,,,,0.301,,199.28,11.752,5464.0,0.99,0.91,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-107 b,Transit,1,3.313959,0.0475,,,,1.426,,696.95,12.92,6061.0,1.3,1.81,Mediano,Lejano,Caliente,Transito,Desconocida,Detectable
K2-108 b,Transit,1,4.733999,0.0581,,,,0.476,,484.99,12.33,5599.0,1.17,1.76,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-11 b,Transit,1,39.93767,0.2257,,,,0.674,,332.46,13.386,5433.0,1.35,5.15,Mediano,Medio,Media,Transito,Desconocida,Subdetectado
K2-110 b,Transit,1,13.86387,0.1027,,,,0.228,,116.84,11.915,4950.0,0.75,0.71,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-111 b,Transit,1,5.35117,0.0621,0.0,86.2,0.02706,0.17,6.6,201.51,11.137,5730.0,0.88,1.23,Pequeño,Medio,Media,Transito,Circular,Subdetectado
K2-113 b,Transit,1,5.817685,0.0642,,,,1.083,,649.75,13.684,5660.0,1.04,1.24,Mediano,Lejano,Media,Transito,Desconocida,Detectable
K2-114 b,Transit,1,11.391013,0.0954,,,,0.952,,484.8,14.556,5044.0,0.89,0.84,Mediano,Medio,Media,Transito,Desconocida,Subdetectado
K2-115 b,Transit,1,20.272615,0.143,,,,1.076,,418.58,13.362,5657.0,0.95,0.88,Mediano,Medio,Media,Transito,Desconocida,Detectable
K2-116 b,Transit,1,4.655411,0.048,0.06,89.09,,0.062,,49.46,10.91,4348.35,0.69,0.67,Pequeño,Cercano,Media,Transito,Circular,Subdetectado
K2-117 b,Transit,2,1.2916,0.0189,,,,0.181,,101.95,14.655,3778.0,0.54,0.51,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
K2-117 c,Transit,2,5.444017,0.0492,,,,0.184,,101.95,14.655,3778.0,0.54,0.51,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
K2-118 b,Transit,1,50.92092,0.245,0.2,89.5,,0.227,,324.7,14.049,4726.29,0.76,0.73,Pequeño,Medio,Media,Transito,Moderada,Subdetectado
K2-119 b,Transit,1,7.727283,0.0698,,,,0.226,,369.66,14.883,4740.0,0.76,0.71,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-12 b,Transit,1,8.28212,0.0802,,,,0.208,,329.36,12.258,5800.0,1.01,1.01,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-120 b,Transit,1,9.562742,0.078,0.14,89.57,,0.179,,,14.045,4349.9,0.69,0.67,Pequeño,,Media,Transito,Moderada,Subdetectado
K2-121 b,Transit,1,5.185761,0.0525,,,,0.669,,170.37,13.319,4551.0,0.72,0.68,Mediano,Medio,Media,Transito,Desconocida,Subdetectado
K2-122 b,Transit,1,2.219282,0.0285,,,,0.108,,72.19,13.15,4027.0,0.62,0.6,Pequeño,Cercano,Media,Transito,Desconocida,Subdetectado
K2-123 b,Transit,1,30.951524,0.1649,,,,0.246,,162.36,14.781,4035.0,0.62,0.59,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-124 b,Transit,1,6.413651,0.049,,89.03,,0.259,,140.4,15.105,3570.0,0.39,0.39,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
K2-125 b,Transit,1,21.750264,0.121,0.08,89.72,,0.194,,124.6,16.122,3654.47,0.49,0.4,Pequeño,Medio,Fría,Transito,Circular,Subdetectado
K2-126 b,Transit,1,7.385655,0.0656,,,,0.176,,103.29,12.918,4339.0,0.69,0.65,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-127 b,Transit,1,3.588163,0.0411,,,,0.747,,723.97,15.037,4575.0,0.72,0.66,Mediano,Lejano,Media,Transito,Desconocida,Subdetectado
K2-128 b,Transit,1,5.675819,0.056,0.23,87.4,,0.127,,115.01,12.627,4469.51,0.71,0.78,Pequeño,Medio,Media,Transito,Moderada,Subdetectado
K2-129 b,Transit,1,8.239493,0.057,0.13,89.21,,0.093,,27.82,13.63,3459.09,0.36,0.36,Pequeño,Cercano,Fría,Transito,Moderada,Subdetectado
K2-13 b,Transit,1,39.91488,0.2114,,,,0.169,,345.76,12.901,5698.0,0.8,0.78,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-130 b,Transit,1,2.49412,0.032,0.17,86.53,,0.112,,118.41,12.759,4356.47,0.7,0.74,Pequeño,Medio,Media,Transito,Moderada,Subdetectado
K2-131 b,Transit,1,0.36931,0.0095,,,,0.152,,153.7,12.115,5245.0,0.84,0.75,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-132 b,Transit,1,9.1751,,,,0.49,1.3,,620.41,11.897,4840.0,1.08,3.85,Mediano,Lejano,Media,Transito,Desconocida,Detectable
K2-133 b,Transit,3,3.0712,0.033,,87.56,,0.117,,75.33,14.288,3655.0,0.51,0.47,Pequeño,Cercano,Fría,Transito,Desconocida,Subdetectado
K2-133 c,Transit,3,4.8682,0.045,,88.65,,0.132,,75.33,14.288,3655.0,0.51,0.47,Pequeño,Cercano,Fría,Transito,Desconocida,Subdetectado
K2-133 d,Transit,3,11.0234,0.077,,89.52,,0.18,,75.33,14.288,3655.0,0.51,0.47,Pequeño,Cercano,Fría,Transito,Desconocida,Subdetectado
K2-136 b,Transit,3,7.975292,,0.1,89.3,,0.088,,59.35,10.9,4499.0,0.74,0.66,Pequeño,Cercano,Media,Transito,Moderada,Subdetectado
K2-136 c,Transit,3,17.307137,,0.13,89.6,,0.26,,59.35,10.9,4499.0,0.74,0.66,Pequeño,Cercano,Media,Transito,Moderada,Subdetectado
K2-136 d,Transit,3,25.575065,,0.14,89.4,,0.129,,59.35,10.9,4499.0,0.74,0.66,Pequeño,Cercano,Media,Transito,Moderada,Subdetectado
K2-137 b,Transit,1,0.179715,0.0058,0.0,89.6,0.5,0.079,,99.15,15.498,3492.0,0.46,0.44,Pequeño,Cercano,Fría,Transito,Circular,Subdetectado
K2-138 b,Transit,5,2.35322,0.0338,0.403,86.9,,0.14,,183.0,12.21,5378.0,0.93,0.86,Pequeño,Medio,Media,Transito,Eliptica,Subdetectado
K2-138 c,Transit,5,3.55987,0.04454,0.296,87.5,,0.225,,183.0,12.21,5378.0,0.93,0.86,Pequeño,Medio,Media,Transito,Moderada,Subdetectado
K2-138 d,Transit,5,5.40478,0.05883,0.348,87.9,,0.237,,183.0,12.21,5378.0,0.93,0.86,Pequeño,Medio,Media,Transito,Moderada,Subdetectado
K2-138 e,Transit,5,8.26144,0.07807,0.315,88.7,,0.294,,183.0,12.21,5378.0,0.93,0.86,Pequeño,Medio,Media,Transito,Moderada,Subdetectado
K2-138 f,Transit,5,12.75759,0.1043,0.364,89.03,,0.251,,183.0,12.21,5378.0,0.93,0.86,Pequeño,Medio,Media,Transito,Moderada,Subdetectado
K2-139 b,Transit,1,28.380619,0.1796,,,,0.813,,154.6,11.653,5370.0,0.96,0.88,Mediano,Medio,Media,Transito,Desconocida,Subdetectado
K2-14 b,Transit,1,8.36802,0.0627,,,,0.429,,367.72,16.31,3789.0,0.47,0.45,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
K2-140 b,Transit,1,6.56918,0.0687,,,,1.093,,341.6,12.624,5705.0,1.0,0.99,Mediano,Medio,Media,Transito,Desconocida,Detectable
K2-141 b,Transit,2,0.2803244,,0.0,86.3,0.01598,0.135,8.2,61.98,11.389,4599.0,0.71,0.68,Pequeño,Cercano,Media,Transito,Circular,Subdetectado
K2-141 c,Transit,2,7.7485,,0.0,87.2,0.02328,0.624,,61.98,11.389,4599.0,0.71,0.68,Mediano,Cercano,Media,Transito,Circular,Subdetectado
K2-146 b,Transit,1,2.644661,0.0259,,,,0.192,,79.5,16.248,3398.0,0.33,0.33,Pequeño,Cercano,Fría,Transito,Desconocida,Subdetectado
K2-147 b,Transit,1,0.961917,0.0159,,,,0.123,,88.0,14.019,3672.0,0.58,0.55,Pequeño,Cercano,Fría,Transito,Desconocida,Subdetectado
K2-148 b,Transit,3,4.38395,0.0454,,,,0.119,,121.0,13.507,4079.0,0.65,0.63,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-148 c,Transit,3,6.9226,0.0616,,,,0.154,,121.0,13.507,4079.0,0.65,0.63,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-148 d,Transit,3,9.7579,0.0774,,,,0.146,,121.0,13.507,4079.0,0.65,0.63,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-149 b,Transit,1,11.332,0.083,,,,0.146,,118.0,14.484,3745.0,0.59,0.57,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
K2-15 b,Transit,1,11.8104,0.091,,,,0.221,,501.03,14.663,5131.0,0.72,0.68,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
K2-150 b,Transit,1,10.59357,0.0727,,,,0.178,,110.0,15.829,3499.0,0.46,0.44,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
K2-151 b,Transit,1,3.835476,0.0373,,,,0.133,,69.61,14.14,3695.0,0.47,0.45,Pequeño,Cercano,Fría,Transito,Desconocida,Subdetectado
K2-152 b,Transit,1,32.6479,0.1716,,,,0.204,,108.7,13.728,4044.0,0.63,0.61,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-153 b,Transit,1,7.51574,0.0614,,,,0.178,,143.6,14.979,3845.0,0.55,0.53,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
K2-154 b,Transit,2,3.67626,0.0405,,,,0.178,,129.8,14.033,4097.0,0.65,0.63,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-154 c,Transit,2,7.95486,0.0677,,,,0.185,,129.8,14.033,4097.0,0.65,0.63,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
K2-155 b,Transit,3,6.342,0.0562,,88.3,,0.161,,82.0,12.806,4258.0,0.65,0.58,Pequeño,Cercano,Media,Transito,Desconocida,Subdetectado
K2-155 c,Transit,3,13.85,0.0946,,88.96,,0.232,,82.0,12.806,4258.0,0.65,0.58,Pequeño,Cercano,Media,Transito,Desconocida,Subdetectado
K2-155 d,Transit,3,40.718,0.1937,,89.61,,0.17,,82.0,12.806,4258.0,0.65,0.58,Pequeño,Cercano,Media,Transito,Desconocida,Subdetectado
K2-156 b,Transit,1,0.81314,0.0149,,,,0.103,,150.4,13.424,4597.0,0.66,0.66,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
